"Field","Value"
"address1","Calle 28 #13a – 75"
"address2","piso 34 -Torre Atrio"
"city","Bogotá"
"country","Colombia"
"website","https://www.pei.com.co"
"maxAge","86400"
"priceHint","2"
"previousClose","69200.0"
"open","68620.0"
"dayLow","68600.0"
"dayHigh","69200.0"
"regularMarketPreviousClose","69200.0"
"regularMarketOpen","68620.0"
"regularMarketDayLow","68600.0"
"regularMarketDayHigh","69200.0"
"volume","8184"
"regularMarketVolume","8184"
"averageVolume","25162"
"averageVolume10days","13417"
"averageDailyVolume10Day","13417"
"bid","69000.0"
"ask","69180.0"
"bidSize","1400"
"fiftyTwoWeekLow","63000.0"
"fiftyTwoWeekHigh","77300.0"
"fiftyDayAverage","68633.2"
"twoHundredDayAverage","70371.336"
"currency","COP"
"enterpriseValue","6163789774848"
"profitMargins","0.54023"
"bookValue","139562.2"
"priceToBook","0.49583626"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1727654400"
"earningsQuarterlyGrowth","-0.313"
"netIncomeToCommon","437149532160"
"enterpriseToRevenue","7.617"
"enterpriseToEbitda","11.497"
"52WeekChange","-0.104786575"
"SandP52WeekChange","0.23397195"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","PEI.CL"
"underlyingSymbol","PEI.CL"
"shortName","PATR AUTON EST INM"
"longName","Patrimonio Autónomo Estrategias Inmobiliarias (3-2-4241)"
"firstTradeDateEpochUtc","1718717400"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","bf67608d-5fc5-32c2-81e8-b6ee0bc577ae"
"messageBoardId","finmb_127147755"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","69200.0"
"targetHighPrice","112900.0"
"targetLowPrice","112900.0"
"targetMeanPrice","112900.0"
"targetMedianPrice","112900.0"
"recommendationKey","none"
"numberOfAnalystOpinions","1"
"totalCash","55663927296"
"totalCashPerShare","1300.233"
"ebitda","536098603008"
"totalDebt","3256949932032"
"quickRatio","0.11"
"currentRatio","0.139"
"totalRevenue","809196126208"
"debtToEquity","51.472"
"revenuePerShare","17258.588"
"returnOnAssets","0.03531"
"returnOnEquity","0.07092"
"freeCashflow","77494149120"
"operatingCashflow","655192621056"
"revenueGrowth","0.107"
"grossMargins","0.84272003"
"ebitdaMargins","0.66251"
"operatingMargins","0.64564"
"financialCurrency","COP"
"trailingPegRatio",""
